a,o,h,l,c,v,t
39.8,39.8,39.8,39.8,39.8,10,2022-07-25 09:01:00
39.8,39.8,39.8,39.8,39.8,2,2022-07-25 09:02:00
39.8,39.8,39.8,39.8,39.8,1,2022-07-25 09:03:00
39.63,39.8,39.8,39.35,39.35,17,2022-07-25 09:04:00
39.64,39.8,39.8,39.8,39.8,2,2022-07-25 09:05:00
39.65,39.8,39.8,39.8,39.8,2,2022-07-25 09:06:00
39.65,39.9,39.9,39.9,39.9,1,2022-07-25 09:08:00
39.71,39.9,39.9,39.9,39.9,10,2022-07-25 09:09:00
39.71,39.8,39.8,39.8,39.8,1,2022-07-25 09:11:00
39.71,39.75,39.75,39.75,39.75,1,2022-07-25 09:12:00
39.71,39.75,39.8,39.75,39.8,2,2022-07-25 09:13:00
39.72,40.0,40.0,40.0,40.0,1,2022-07-25 09:14:00
39.73,39.8,40.0,39.8,40.0,2,2022-07-25 09:15:00
39.73,40.0,40.0,40.0,40.0,1,2022-07-25 09:17:00
39.74,40.0,40.0,40.0,40.0,1,2022-07-25 09:18:00
39.75,40.15,40.15,40.05,40.05,2,2022-07-25 09:19:00
39.76,40.15,40.15,40.15,40.15,1,2022-07-25 09:20:00
39.78,40.1,40.1,40.0,40.0,4,2022-07-25 09:21:00
39.78,40.0,40.0,40.0,40.0,1,2022-07-25 09:22:00
39.79,40.2,40.2,40.2,40.2,1,2022-07-25 09:23:00
39.79,40.15,40.15,40.15,40.15,1,2022-07-25 09:24:00
39.8,40.15,40.15,40.15,40.15,1,2022-07-25 09:25:00
39.8,40.15,40.15,40.15,40.15,1,2022-07-25 09:26:00
39.81,40.15,40.15,40.15,40.15,1,2022-07-25 09:27:00
39.81,40.2,40.2,40.2,40.2,1,2022-07-25 09:28:00
39.82,40.0,40.0,40.0,40.0,1,2022-07-25 09:29:00
39.82,40.0,40.0,40.0,40.0,1,2022-07-25 09:30:00
39.82,40.2,40.2,40.2,40.2,1,2022-07-25 09:31:00
39.83,40.2,40.2,40.2,40.2,1,2022-07-25 09:33:00
39.83,40.2,40.2,40.2,40.2,1,2022-07-25 09:34:00
39.84,40.2,40.2,40.2,40.2,1,2022-07-25 09:35:00
39.84,40.2,40.2,40.2,40.2,1,2022-07-25 09:36:00
39.85,40.15,40.15,40.15,40.15,1,2022-07-25 09:37:00
39.85,40.15,40.15,40.15,40.15,1,2022-07-25 09:38:00
39.86,40.15,40.15,40.15,40.15,1,2022-07-25 09:39:00
39.86,40.2,40.2,40.2,40.2,1,2022-07-25 09:40:00
39.86,40.2,40.2,40.2,40.2,1,2022-07-25 09:41:00
39.87,40.2,40.2,40.2,40.2,1,2022-07-25 09:42:00
39.87,40.2,40.2,40.2,40.2,1,2022-07-25 09:43:00
39.88,39.9,40.2,39.9,40.2,2,2022-07-25 09:44:00
39.88,40.2,40.2,40.2,40.2,1,2022-07-25 09:45:00
39.93,40.2,40.2,40.2,40.2,14,2022-07-25 09:46:00
39.94,40.25,40.3,40.25,40.3,6,2022-07-25 09:47:00
39.97,40.3,40.45,40.3,40.45,8,2022-07-25 09:48:00
39.99,40.45,40.45,40.45,40.45,4,2022-07-25 09:49:00
40.0,40.45,40.5,40.45,40.5,3,2022-07-25 09:50:00
40.03,40.45,40.45,40.3,40.3,9,2022-07-25 09:51:00
40.03,40.3,40.3,40.3,40.3,1,2022-07-25 09:52:00
40.04,40.3,40.3,40.3,40.3,2,2022-07-25 09:53:00
40.04,40.45,40.45,40.45,40.45,1,2022-07-25 09:54:00
40.04,40.5,40.5,40.5,40.5,1,2022-07-25 09:55:00
40.05,40.5,40.5,40.5,40.5,1,2022-07-25 09:56:00
40.05,40.5,40.5,40.5,40.5,1,2022-07-25 09:57:00
40.05,40.4,40.4,40.4,40.4,1,2022-07-25 09:58:00
40.06,40.4,40.4,40.4,40.4,1,2022-07-25 09:59:00
40.06,40.4,40.4,40.4,40.4,1,2022-07-25 10:00:00
40.06,40.25,40.4,40.25,40.4,2,2022-07-25 10:01:00
40.06,40.4,40.4,40.4,40.4,1,2022-07-25 10:02:00
40.07,40.4,40.4,40.4,40.4,1,2022-07-25 10:03:00
40.07,40.45,40.45,40.45,40.45,1,2022-07-25 10:05:00
40.07,40.4,40.4,40.4,40.4,1,2022-07-25 10:06:00
40.07,40.4,40.4,40.4,40.4,1,2022-07-25 10:07:00
40.08,40.4,40.4,40.4,40.4,1,2022-07-25 10:08:00
40.08,40.4,40.4,40.4,40.4,3,2022-07-25 10:09:00
40.08,40.45,40.45,40.45,40.45,1,2022-07-25 10:10:00
40.1,40.45,40.45,40.45,40.45,6,2022-07-25 10:11:00
40.1,40.45,40.45,40.45,40.45,1,2022-07-25 10:12:00
40.12,40.5,40.5,40.5,40.5,9,2022-07-25 10:13:00
40.12,40.5,40.5,40.5,40.5,1,2022-07-25 10:14:00
40.13,40.5,40.5,40.5,40.5,1,2022-07-25 10:15:00
40.13,40.45,40.45,40.45,40.45,1,2022-07-25 10:16:00
40.13,40.35,40.5,40.35,40.5,2,2022-07-25 10:17:00
40.13,40.5,40.5,40.5,40.5,1,2022-07-25 10:18:00
40.14,40.5,40.5,40.5,40.5,1,2022-07-25 10:19:00
40.14,40.5,40.5,40.5,40.5,1,2022-07-25 10:21:00
40.14,40.5,40.5,40.5,40.5,2,2022-07-25 10:22:00
40.14,40.5,40.5,40.5,40.5,1,2022-07-25 10:23:00
40.15,40.5,40.5,40.5,40.5,1,2022-07-25 10:24:00
40.15,40.5,40.5,40.5,40.5,1,2022-07-25 10:25:00
40.15,40.5,40.5,40.5,40.5,1,2022-07-25 10:26:00
40.16,40.5,40.5,40.5,40.5,5,2022-07-25 10:27:00
40.16,40.5,40.5,40.5,40.5,1,2022-07-25 10:28:00
40.17,40.5,40.5,40.5,40.5,2,2022-07-25 10:29:00
40.17,40.5,40.5,40.5,40.5,1,2022-07-25 10:30:00
40.17,40.6,40.6,40.6,40.6,1,2022-07-25 10:31:00
40.17,40.55,40.55,40.55,40.55,1,2022-07-25 10:32:00
40.17,40.55,40.55,40.55,40.55,1,2022-07-25 10:33:00
40.17,40.55,40.55,40.55,40.55,1,2022-07-25 10:34:00
40.18,40.5,40.6,40.5,40.6,2,2022-07-25 10:35:00
40.18,40.6,40.6,40.6,40.6,1,2022-07-25 10:37:00
40.18,40.6,40.6,40.5,40.5,2,2022-07-25 10:38:00
40.19,40.3,40.6,40.3,40.6,2,2022-07-25 10:39:00
40.19,40.6,40.6,40.6,40.6,1,2022-07-25 10:40:00
40.19,40.55,40.55,40.55,40.55,1,2022-07-25 10:41:00
40.19,40.4,40.5,40.4,40.5,2,2022-07-25 10:42:00
40.2,40.55,40.55,40.55,40.55,1,2022-07-25 10:43:00
40.2,40.55,40.55,40.55,40.55,1,2022-07-25 10:44:00
40.2,40.55,40.55,40.4,40.4,2,2022-07-25 10:45:00
40.2,40.55,40.55,40.55,40.55,1,2022-07-25 10:46:00
40.2,40.55,40.55,40.55,40.55,1,2022-07-25 10:47:00
40.2,40.55,40.55,40.55,40.55,1,2022-07-25 10:48:00
40.21,40.55,40.55,40.55,40.55,1,2022-07-25 10:49:00
40.21,40.55,40.6,40.55,40.6,3,2022-07-25 10:50:00
40.21,40.6,40.6,40.6,40.6,1,2022-07-25 10:51:00
40.21,40.6,40.6,40.6,40.6,1,2022-07-25 10:53:00
40.22,40.6,40.6,40.6,40.6,1,2022-07-25 10:54:00
40.22,40.6,40.6,40.6,40.6,1,2022-07-25 10:55:00
40.23,40.55,40.6,40.5,40.5,6,2022-07-25 10:56:00
40.23,40.6,40.6,40.5,40.5,2,2022-07-25 10:57:00
40.23,40.6,40.6,40.45,40.45,2,2022-07-25 10:58:00
40.23,40.5,40.5,40.4,40.4,2,2022-07-25 10:59:00
40.24,40.5,40.5,40.5,40.5,1,2022-07-25 11:00:00
40.24,40.5,40.5,40.5,40.5,1,2022-07-25 11:01:00
40.24,40.55,40.55,40.55,40.55,1,2022-07-25 11:02:00
40.24,40.5,40.5,40.5,40.5,1,2022-07-25 11:03:00
40.24,40.4,40.5,40.4,40.5,3,2022-07-25 11:04:00
40.24,40.5,40.5,40.5,40.5,1,2022-07-25 11:05:00
40.25,40.45,40.5,40.45,40.5,2,2022-07-25 11:06:00
40.25,40.5,40.5,40.5,40.5,1,2022-07-25 11:07:00
40.25,40.55,40.55,40.55,40.55,1,2022-07-25 11:09:00
40.25,40.55,40.55,40.55,40.55,1,2022-07-25 11:10:00
40.25,40.55,40.55,40.55,40.55,3,2022-07-25 11:11:00
40.25,40.55,40.55,40.55,40.55,1,2022-07-25 11:12:00
40.25,40.55,40.55,40.55,40.55,1,2022-07-25 11:13:00
40.26,40.55,40.55,40.55,40.55,1,2022-07-25 11:14:00
40.26,40.55,40.55,40.55,40.55,3,2022-07-25 11:15:00
40.26,40.55,40.55,40.55,40.55,2,2022-07-25 11:16:00
40.26,40.55,40.55,40.55,40.55,1,2022-07-25 11:17:00
40.26,40.55,40.55,40.55,40.55,1,2022-07-25 11:18:00
40.27,40.6,40.6,40.55,40.55,6,2022-07-25 11:19:00
40.27,40.6,40.6,40.6,40.6,1,2022-07-25 11:20:00
40.28,40.6,40.6,40.55,40.55,4,2022-07-25 11:21:00
40.28,40.6,40.6,40.6,40.6,1,2022-07-25 11:22:00
40.28,40.6,40.6,40.6,40.6,1,2022-07-25 11:23:00
40.28,40.6,40.6,40.6,40.6,1,2022-07-25 11:25:00
40.28,40.6,40.6,40.6,40.6,1,2022-07-25 11:26:00
40.28,40.6,40.6,40.6,40.6,1,2022-07-25 11:27:00
40.28,40.6,40.6,40.6,40.6,1,2022-07-25 11:28:00
40.28,40.6,40.6,40.4,40.4,2,2022-07-25 11:29:00
40.29,40.6,40.6,40.6,40.6,1,2022-07-25 11:30:00
40.29,40.6,40.6,40.6,40.6,1,2022-07-25 11:31:00
40.29,40.65,40.65,40.65,40.65,1,2022-07-25 11:32:00
40.29,40.65,40.65,40.65,40.65,1,2022-07-25 11:33:00
40.29,40.65,40.65,40.65,40.65,1,2022-07-25 11:34:00
40.29,40.7,40.7,40.7,40.7,1,2022-07-25 11:35:00
40.29,40.7,40.7,40.7,40.7,1,2022-07-25 11:36:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:37:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:38:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:39:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:41:00
40.3,40.6,40.6,40.6,40.6,1,2022-07-25 11:42:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:43:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:44:00
40.3,40.7,40.7,40.7,40.7,1,2022-07-25 11:45:00
40.31,40.7,40.7,40.7,40.7,1,2022-07-25 11:46:00
40.31,40.7,40.7,40.7,40.7,1,2022-07-25 11:47:00
40.31,40.7,40.7,40.7,40.7,1,2022-07-25 11:48:00
40.31,40.7,40.7,40.7,40.7,1,2022-07-25 11:49:00
40.31,40.7,40.7,40.7,40.7,1,2022-07-25 11:50:00
40.31,40.45,40.7,40.45,40.7,2,2022-07-25 11:51:00
40.32,40.65,40.65,40.65,40.65,2,2022-07-25 11:52:00
40.32,40.65,40.65,40.65,40.65,2,2022-07-25 11:53:00
40.32,40.7,40.7,40.7,40.7,1,2022-07-25 11:54:00
40.32,40.7,40.7,40.7,40.7,1,2022-07-25 11:55:00
40.32,40.55,40.55,40.55,40.55,3,2022-07-25 11:56:00
40.32,40.65,40.65,40.65,40.65,1,2022-07-25 11:57:00
40.32,40.65,40.65,40.65,40.65,1,2022-07-25 11:58:00
40.33,40.65,40.65,40.65,40.65,1,2022-07-25 11:59:00
40.33,40.65,40.65,40.65,40.65,1,2022-07-25 12:00:00
40.33,40.6,40.6,40.6,40.6,1,2022-07-25 12:03:00
40.33,40.6,40.6,40.55,40.55,2,2022-07-25 12:05:00
40.33,40.45,40.45,40.45,40.45,1,2022-07-25 12:09:00
40.33,40.45,40.45,40.45,40.45,3,2022-07-25 12:23:00
40.33,40.45,40.45,40.45,40.45,2,2022-07-25 12:34:00
40.33,40.4,40.4,40.4,40.4,2,2022-07-25 12:35:00
40.33,40.4,40.4,40.4,40.4,2,2022-07-25 12:37:00
40.33,40.35,40.35,40.35,40.35,1,2022-07-25 12:41:00
40.33,40.35,40.35,40.35,40.35,5,2022-07-25 12:43:00
40.33,40.35,40.35,40.35,40.35,1,2022-07-25 12:46:00
40.33,40.35,40.35,40.25,40.25,5,2022-07-25 12:47:00
40.33,40.3,40.3,40.3,40.3,1,2022-07-25 12:52:00
40.33,40.25,40.25,40.25,40.25,2,2022-07-25 12:54:00
40.33,40.3,40.3,40.3,40.3,3,2022-07-25 13:00:00
40.33,40.35,40.5,40.3,40.5,9,2022-07-25 13:04:00
40.33,40.3,40.35,40.3,40.3,6,2022-07-25 13:05:00
40.33,40.3,40.3,40.3,40.3,2,2022-07-25 13:06:00
40.33,40.25,40.25,40.25,40.25,1,2022-07-25 13:10:00
40.33,40.25,40.25,40.25,40.25,1,2022-07-25 13:12:00
40.33,40.25,40.4,40.25,40.4,2,2022-07-25 13:14:00
40.33,40.25,40.25,40.25,40.25,3,2022-07-25 13:20:00
40.33,40.3,40.4,40.3,40.4,2,2022-07-25 13:24:00
40.33,40.4,40.4,40.4,40.4,17,2022-07-25 13:30:00
